[0.000000] (-) TimerEvent: {}
[0.000502] (-) JobUnselected: {'identifier': 'auv_gui'}
[0.000617] (-) JobUnselected: {'identifier': 'auv_setup'}
[0.000658] (-) JobUnselected: {'identifier': 'docking'}
[0.000694] (-) JobUnselected: {'identifier': 'dp_adapt_backs_controller'}
[0.000924] (-) JobUnselected: {'identifier': 'ekf_pose_filtering'}
[0.000963] (-) JobUnselected: {'identifier': 'freya_visualization'}
[0.000992] (-) JobUnselected: {'identifier': 'joystick_interface_auv'}
[0.001140] (-) JobUnselected: {'identifier': 'los_guidance'}
[0.001177] (-) JobUnselected: {'identifier': 'ma1_mclsimpy'}
[0.001206] (-) JobUnselected: {'identifier': 'ma1_stonefish'}
[0.001378] (-) JobUnselected: {'identifier': 'mundus_mir_blueye_joystick_cpp'}
[0.001570] (-) JobUnselected: {'identifier': 'mundus_mir_msgs'}
[0.001646] (-) JobUnselected: {'identifier': 'mundus_mir_stonefish_docking_controller'}
[0.001682] (-) JobUnselected: {'identifier': 'mundus_mir_vehicle_interfaces'}
[0.001759] (-) JobUnselected: {'identifier': 'mundus_mir_waypoint_controller'}
[0.001785] (-) JobUnselected: {'identifier': 'pid_controller_dp'}
[0.001811] (-) JobUnselected: {'identifier': 'pid_controller_dp_euler'}
[0.001837] (-) JobUnselected: {'identifier': 'pid_siso'}
[0.001876] (-) JobUnselected: {'identifier': 'pose_action_server'}
[0.001911] (-) JobUnselected: {'identifier': 'reference_filter_dp'}
[0.001973] (-) JobUnselected: {'identifier': 'stonefish_ros2'}
[0.002010] (-) JobUnselected: {'identifier': 'thrust_allocator_auv'}
[0.002066] (-) JobUnselected: {'identifier': 'thruster_interface_auv'}
[0.002107] (-) JobUnselected: {'identifier': 'thruster_visualization'}
[0.002133] (-) JobUnselected: {'identifier': 'urdf_models'}
[0.002159] (-) JobUnselected: {'identifier': 'velocity_controller_4dof_ros2'}
[0.002234] (-) JobUnselected: {'identifier': 'velocity_controller_lqr'}
[0.002518] (-) JobUnselected: {'identifier': 'vortex_msgs'}
[0.002592] (-) JobUnselected: {'identifier': 'vortex_sim_interface'}
[0.002622] (-) JobUnselected: {'identifier': 'vortex_utils'}
[0.002650] (-) JobUnselected: {'identifier': 'waypoint_manager'}
[0.002682] (stonefish_sim) JobQueued: {'identifier': 'stonefish_sim', 'dependencies': OrderedDict([('stonefish_ros2', '/home/badawi/Desktop/auto-pilot/install/stonefish_ros2')])}
[0.002761] (stonefish_sim) JobStarted: {'identifier': 'stonefish_sim'}
[0.013636] (stonefish_sim) JobProgress: {'identifier': 'stonefish_sim', 'progress': 'cmake'}
[0.014256] (stonefish_sim) JobProgress: {'identifier': 'stonefish_sim', 'progress': 'build'}
[0.015149] (stonefish_sim) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/badawi/Desktop/auto-pilot/build/stonefish_sim', '--', '-j20', '-l20'], 'cwd': '/home/badawi/Desktop/auto-pilot/build/stonefish_sim', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('GZ_SIM_RESOURCE_PATH', ':/home/badawi/Desktop/mundus_mir_simulator/src/mundus_mir_simulator/mundus_mir_gz/gz_models'), ('USER', 'badawi'), ('LC_TIME', 'nb_NO.UTF-8'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/badawi/Desktop/auto-pilot/install/stonefish_ros2/lib:/home/badawi/Desktop/auto-pilot/install/vortex_utils/lib:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv/lib:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp/lib:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller/lib:/home/badawi/Desktop/auto-pilot/install/vortex_msgs/lib:/home/badawi/Desktop/auto-pilot/install/pid_siso/lib:/home/badawi/btcpp_ws/install/behaviortree_cpp/lib:/usr/local/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/badawi'), ('OLDPWD', '/home/badawi/Desktop/auto-pilot/src'), ('DESKTOP_SESSION', 'ubuntu-xorg'), ('GIO_LAUNCHED_DESKTOP_FILE', '/usr/share/applications/terminator.desktop'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'nb_NO.UTF-8'), ('MANAGERPID', '2031'), ('SYSTEMD_EXEC_PID', '3736'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('TERMINATOR_DBUS_NAME', 'net.tenshu.Terminator23558193cd9818af7fe4d2c2f5bd9d00f'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '11517'), ('MANDATORY_PATH', '/usr/share/gconf/ubuntu-xorg.mandatory.path'), ('COLCON_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install:/home/badawi/btcpp_ws/install'), ('ROS_DISTRO', 'humble'), ('GTK_IM_MODULE', 'ibus'), ('LOGNAME', 'badawi'), ('JOURNAL_STREAM', '8:19243'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('DEFAULTS_PATH', '/usr/share/gconf/ubuntu-xorg.default.path'), ('USERNAME', 'badawi'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/home/badawi/btcpp_ws/install/behaviortree_cpp/bin:/opt/ros/humble/bin:/home/badawi/.cargo/bin:/home/badawi/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/usr/local/MATLAB/R2024b/bin'), ('SESSION_MANAGER', 'local/badawi:@/tmp/.ICE-unix/3708,unix/badawi:/tmp/.ICE-unix/3708'), ('INVOCATION_ID', 'fb10c6a245cd482e8fb152f3f10ac3af'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'nb_NO.UTF-8'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':1'), ('TERMINATOR_DBUS_PATH', '/net/tenshu/Terminator2'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('IBUS_DISABLE_SNOOPER', '1'), ('LC_TELEPHONE', 'nb_NO.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu-xorg'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install/waypoint_manager:/home/badawi/Desktop/auto-pilot/install/vortex_utils:/home/badawi/Desktop/auto-pilot/install/vortex_sim_interface:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr:/home/badawi/Desktop/auto-pilot/install/freya_visualization:/home/badawi/Desktop/auto-pilot/install/thruster_visualization:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp:/home/badawi/Desktop/auto-pilot/install/pose_action_server:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp_euler:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp:/home/badawi/Desktop/auto-pilot/install/los_guidance:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller:/home/badawi/Desktop/auto-pilot/install/auv_gui:/home/badawi/Desktop/auto-pilot/install/vortex_msgs:/home/badawi/Desktop/auto-pilot/install/velocity_controller_4dof_ros2:/home/badawi/Desktop/auto-pilot/install/urdf_models:/home/badawi/Desktop/auto-pilot/install/stonefish_sim:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller:/home/badawi/Desktop/auto-pilot/install/ma1_stonefish:/home/badawi/Desktop/auto-pilot/install/stonefish_ros2:/home/badawi/Desktop/auto-pilot/install/pid_siso:/home/badawi/Desktop/auto-pilot/install/mundus_mir_vehicle_interfaces:/home/badawi/Desktop/auto-pilot/install/mundus_mir_blueye_joystick_cpp:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv:/home/badawi/Desktop/auto-pilot/install/auv_setup:/home/badawi/btcpp_ws/install/behaviortree_cpp:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'nb_NO.UTF-8'), ('TERMINATOR_UUID', 'urn:uuid:7120ec5f-974c-46b5-b3b8-616a868d14ba'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu-xorg'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'nb_NO.UTF-8'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'nb_NO.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/badawi/Desktop/auto-pilot/build/stonefish_sim'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu-xorg:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu-xorg:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/badawi/Desktop/auto-pilot/install/vortex_utils/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/build/auv_gui:/home/badawi/Desktop/auto-pilot/install/auv_gui/lib/python3.10/site-packages:/home/badawi/Desktop/auto-pilot/install/vortex_msgs/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/build/mundus_mir_stonefish_docking_controller:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller/lib/python3.10/site-packages:/home/badawi/Desktop/auto-pilot/install/stonefish_ros2/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'nb_NO.UTF-8'), ('LC_PAPER', 'nb_NO.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install/stonefish_ros2:/home/badawi/Desktop/auto-pilot/install/waypoint_manager:/home/badawi/Desktop/auto-pilot/install/vortex_utils:/home/badawi/Desktop/auto-pilot/install/vortex_sim_interface:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr:/home/badawi/Desktop/auto-pilot/install/freya_visualization:/home/badawi/Desktop/auto-pilot/install/thruster_visualization:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp:/home/badawi/Desktop/auto-pilot/install/pose_action_server:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp_euler:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp:/home/badawi/Desktop/auto-pilot/install/los_guidance:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller:/home/badawi/Desktop/auto-pilot/install/vortex_msgs:/home/badawi/Desktop/auto-pilot/install/velocity_controller_4dof_ros2:/home/badawi/Desktop/auto-pilot/install/urdf_models:/home/badawi/Desktop/auto-pilot/install/stonefish_sim:/home/badawi/Desktop/auto-pilot/install/ma1_stonefish:/home/badawi/Desktop/auto-pilot/install/pid_siso:/home/badawi/Desktop/auto-pilot/install/mundus_mir_vehicle_interfaces:/home/badawi/Desktop/auto-pilot/install/mundus_mir_blueye_joystick_cpp:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv:/home/badawi/Desktop/auto-pilot/install/auv_setup:/home/badawi/btcpp_ws/install/behaviortree_cpp:/home/badawi/Desktop/auto-pilot/install/auv_gui:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller:/opt/ros/humble')]), 'shell': False}
[0.054623] (stonefish_sim) CommandEnded: {'returncode': 0}
[0.055399] (stonefish_sim) JobProgress: {'identifier': 'stonefish_sim', 'progress': 'install'}
[0.064303] (stonefish_sim) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/badawi/Desktop/auto-pilot/build/stonefish_sim'], 'cwd': '/home/badawi/Desktop/auto-pilot/build/stonefish_sim', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('GZ_SIM_RESOURCE_PATH', ':/home/badawi/Desktop/mundus_mir_simulator/src/mundus_mir_simulator/mundus_mir_gz/gz_models'), ('USER', 'badawi'), ('LC_TIME', 'nb_NO.UTF-8'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/badawi/Desktop/auto-pilot/install/stonefish_ros2/lib:/home/badawi/Desktop/auto-pilot/install/vortex_utils/lib:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv/lib:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp/lib:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller/lib:/home/badawi/Desktop/auto-pilot/install/vortex_msgs/lib:/home/badawi/Desktop/auto-pilot/install/pid_siso/lib:/home/badawi/btcpp_ws/install/behaviortree_cpp/lib:/usr/local/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/badawi'), ('OLDPWD', '/home/badawi/Desktop/auto-pilot/src'), ('DESKTOP_SESSION', 'ubuntu-xorg'), ('GIO_LAUNCHED_DESKTOP_FILE', '/usr/share/applications/terminator.desktop'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'nb_NO.UTF-8'), ('MANAGERPID', '2031'), ('SYSTEMD_EXEC_PID', '3736'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('TERMINATOR_DBUS_NAME', 'net.tenshu.Terminator23558193cd9818af7fe4d2c2f5bd9d00f'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '11517'), ('MANDATORY_PATH', '/usr/share/gconf/ubuntu-xorg.mandatory.path'), ('COLCON_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install:/home/badawi/btcpp_ws/install'), ('ROS_DISTRO', 'humble'), ('GTK_IM_MODULE', 'ibus'), ('LOGNAME', 'badawi'), ('JOURNAL_STREAM', '8:19243'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('DEFAULTS_PATH', '/usr/share/gconf/ubuntu-xorg.default.path'), ('USERNAME', 'badawi'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/home/badawi/btcpp_ws/install/behaviortree_cpp/bin:/opt/ros/humble/bin:/home/badawi/.cargo/bin:/home/badawi/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin:/usr/local/MATLAB/R2024b/bin'), ('SESSION_MANAGER', 'local/badawi:@/tmp/.ICE-unix/3708,unix/badawi:/tmp/.ICE-unix/3708'), ('INVOCATION_ID', 'fb10c6a245cd482e8fb152f3f10ac3af'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'nb_NO.UTF-8'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':1'), ('TERMINATOR_DBUS_PATH', '/net/tenshu/Terminator2'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('IBUS_DISABLE_SNOOPER', '1'), ('LC_TELEPHONE', 'nb_NO.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu-xorg'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install/waypoint_manager:/home/badawi/Desktop/auto-pilot/install/vortex_utils:/home/badawi/Desktop/auto-pilot/install/vortex_sim_interface:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr:/home/badawi/Desktop/auto-pilot/install/freya_visualization:/home/badawi/Desktop/auto-pilot/install/thruster_visualization:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp:/home/badawi/Desktop/auto-pilot/install/pose_action_server:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp_euler:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp:/home/badawi/Desktop/auto-pilot/install/los_guidance:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller:/home/badawi/Desktop/auto-pilot/install/auv_gui:/home/badawi/Desktop/auto-pilot/install/vortex_msgs:/home/badawi/Desktop/auto-pilot/install/velocity_controller_4dof_ros2:/home/badawi/Desktop/auto-pilot/install/urdf_models:/home/badawi/Desktop/auto-pilot/install/stonefish_sim:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller:/home/badawi/Desktop/auto-pilot/install/ma1_stonefish:/home/badawi/Desktop/auto-pilot/install/stonefish_ros2:/home/badawi/Desktop/auto-pilot/install/pid_siso:/home/badawi/Desktop/auto-pilot/install/mundus_mir_vehicle_interfaces:/home/badawi/Desktop/auto-pilot/install/mundus_mir_blueye_joystick_cpp:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv:/home/badawi/Desktop/auto-pilot/install/auv_setup:/home/badawi/btcpp_ws/install/behaviortree_cpp:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'nb_NO.UTF-8'), ('TERMINATOR_UUID', 'urn:uuid:7120ec5f-974c-46b5-b3b8-616a868d14ba'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu-xorg'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'nb_NO.UTF-8'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'nb_NO.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/badawi/Desktop/auto-pilot/build/stonefish_sim'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu-xorg:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu-xorg:/usr/share/gnome:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/badawi/Desktop/auto-pilot/install/vortex_utils/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/build/auv_gui:/home/badawi/Desktop/auto-pilot/install/auv_gui/lib/python3.10/site-packages:/home/badawi/Desktop/auto-pilot/install/vortex_msgs/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/build/mundus_mir_stonefish_docking_controller:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller/lib/python3.10/site-packages:/home/badawi/Desktop/auto-pilot/install/stonefish_ros2/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy/local/lib/python3.10/dist-packages:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'nb_NO.UTF-8'), ('LC_PAPER', 'nb_NO.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/badawi/Desktop/auto-pilot/install/stonefish_ros2:/home/badawi/Desktop/auto-pilot/install/waypoint_manager:/home/badawi/Desktop/auto-pilot/install/vortex_utils:/home/badawi/Desktop/auto-pilot/install/vortex_sim_interface:/home/badawi/Desktop/auto-pilot/install/velocity_controller_lqr:/home/badawi/Desktop/auto-pilot/install/freya_visualization:/home/badawi/Desktop/auto-pilot/install/thruster_visualization:/home/badawi/Desktop/auto-pilot/install/thrust_allocator_auv:/home/badawi/Desktop/auto-pilot/install/reference_filter_dp:/home/badawi/Desktop/auto-pilot/install/pose_action_server:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp_euler:/home/badawi/Desktop/auto-pilot/install/pid_controller_dp:/home/badawi/Desktop/auto-pilot/install/los_guidance:/home/badawi/Desktop/auto-pilot/install/dp_adapt_backs_controller:/home/badawi/Desktop/auto-pilot/install/vortex_msgs:/home/badawi/Desktop/auto-pilot/install/velocity_controller_4dof_ros2:/home/badawi/Desktop/auto-pilot/install/urdf_models:/home/badawi/Desktop/auto-pilot/install/stonefish_sim:/home/badawi/Desktop/auto-pilot/install/ma1_stonefish:/home/badawi/Desktop/auto-pilot/install/pid_siso:/home/badawi/Desktop/auto-pilot/install/mundus_mir_vehicle_interfaces:/home/badawi/Desktop/auto-pilot/install/mundus_mir_blueye_joystick_cpp:/home/badawi/Desktop/auto-pilot/install/ma1_mclsimpy:/home/badawi/Desktop/auto-pilot/install/joystick_interface_auv:/home/badawi/Desktop/auto-pilot/install/auv_setup:/home/badawi/btcpp_ws/install/behaviortree_cpp:/home/badawi/Desktop/auto-pilot/install/auv_gui:/home/badawi/Desktop/auto-pilot/install/mundus_mir_stonefish_docking_controller:/opt/ros/humble')]), 'shell': False}
[0.072331] (stonefish_sim) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.072710] (stonefish_sim) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.072980] (stonefish_sim) StdoutLine: {'line': b'-- Up-to-date symlink: /home/badawi/Desktop/auto-pilot/install/stonefish_sim/share/stonefish_sim/config/default_config.yaml\n'}
